2025-07-01 15:09:47.055081 - [*] Starting scan on local from port 80 to 223...
2025-07-01 15:09:48.369322 - [!] Error scanning port 114 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.374852 - [!] Error scanning port 110 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.374852 - [!] Error scanning port 100 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.375989 - [!] Error scanning port 115 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.375989 - [!] Error scanning port 120 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.375989 - [!] Error scanning port 116 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.375989 - [!] Error scanning port 108 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.381496 - [!] Error scanning port 117 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.382495 - [!] Error scanning port 137 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.382495 - [!] Error scanning port 113 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.382495 - [!] Error scanning port 102 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.383490 - [!] Error scanning port 121 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.383490 - [!] Error scanning port 123 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.383490 - [!] Error scanning port 109 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.383490 - [!] Error scanning port 119 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.383490 - [!] Error scanning port 118 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.383490 - [!] Error scanning port 97 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.383490 - [!] Error scanning port 124 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.383490 - [!] Error scanning port 101 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.383490 - [!] Error scanning port 125 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.384490 - [!] Error scanning port 105 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.384490 - [!] Error scanning port 111 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.384490 - [!] Error scanning port 103 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.392775 - [!] Error scanning port 136 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.392775 - [!] Error scanning port 139 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.393778 - [!] Error scanning port 140 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.393778 - [!] Error scanning port 142 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.394776 - [!] Error scanning port 141 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.394776 - [!] Error scanning port 144 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.394776 - [!] Error scanning port 135 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.394776 - [!] Error scanning port 138 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.394776 - [!] Error scanning port 151 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.394776 - [!] Error scanning port 150 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.394776 - [!] Error scanning port 133 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.396160 - [!] Error scanning port 145 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.396160 - [!] Error scanning port 147 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.396160 - [!] Error scanning port 149 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.398161 - [!] Error scanning port 152 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.398161 - [!] Error scanning port 161 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.399157 - [!] Error scanning port 156 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.399157 - [!] Error scanning port 177 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.400157 - [!] Error scanning port 165 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.401158 - [!] Error scanning port 154 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.403277 - [!] Error scanning port 167 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.403277 - [!] Error scanning port 163 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.404279 - [!] Error scanning port 162 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.404279 - [!] Error scanning port 159 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.404279 - [!] Error scanning port 160 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.404279 - [!] Error scanning port 171 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.405275 - [!] Error scanning port 172 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.405275 - [!] Error scanning port 122 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.405275 - [!] Error scanning port 173 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.405275 - [!] Error scanning port 153 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.406275 - [!] Error scanning port 128 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.406275 - [!] Error scanning port 98 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.406275 - [!] Error scanning port 170 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.406275 - [!] Error scanning port 155 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.406275 - [!] Error scanning port 176 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.406275 - [!] Error scanning port 179 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.406275 - [!] Error scanning port 174 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.406275 - [!] Error scanning port 168 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.406275 - [!] Error scanning port 157 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.407278 - [!] Error scanning port 93 on local: [Errno 11001] getaddrinfo failed

2025-07-01 15:09:48.408346 - [!] Error scanning port 169 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 126 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 148 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 146 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 178 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 164 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 99 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.408346 - [!] Error scanning port 185 on local: [Errno 11001] getaddrinfo failed
2025-07-01 15:09:48.409353 - [!] Error scanning port 131 on local: [Errno 11001] getaddrinfo failed
